,system:index.4,VV.4,SM(%)_pred.4,geometry,pred_labels
0,20210902T083446,-5.619058928,45.47332181,"{""type"":""Point"",""coordinates"":[140.0653974330111,40.272531661019556]}",3
1,20210902T083446,-6.393826195,43.3145219,"{""type"":""Point"",""coordinates"":[140.07740416505845,40.27351380805896]}",1
2,20210902T083446,-10.1993175,32.71095792,"{""type"":""Point"",""coordinates"":[140.0773307937425,40.27381286634717]}",0
3,20210902T083446,-6.241303336,43.73950931,"{""type"":""Point"",""coordinates"":[140.063518276908,40.28125940510503]}",1
4,20210902T083446,-9.649289809,34.24354683,"{""type"":""Point"",""coordinates"":[140.0893697982873,40.281473223748]}",0
5,20210902T083446,-6.543228837,42.89822862,"{""type"":""Point"",""coordinates"":[140.06340519389784,40.28145089289267]}",1
6,20210902T083446,-7.636018436,39.85329604,"{""type"":""Point"",""coordinates"":[140.06271927272337,40.281710097950395]}",2
7,20210902T083446,-8.538405306,37.33889878,"{""type"":""Point"",""coordinates"":[140.06324348668858,40.281811943640776]}",2
8,20210902T083446,-1.015487689,58.30064378,"{""type"":""Point"",""coordinates"":[140.06264054882655,40.28195993293577]}",3
9,20210902T083446,-9.447134784,34.80682857,"{""type"":""Point"",""coordinates"":[140.06390550994587,40.28211588509264]}",0
10,20210902T083446,-10.65498035,31.44130577,"{""type"":""Point"",""coordinates"":[140.063193442437,40.282106676908164]}",0
11,20210902T083446,-8.836640354,36.50790111,"{""type"":""Point"",""coordinates"":[140.06382140905797,40.28232544879683]}",2
12,20210902T083446,-6.585201227,42.78127738,"{""type"":""Point"",""coordinates"":[140.0877852524983,40.282772941401284]}",1
13,20210902T083446,-9.374094036,35.01034822,"{""type"":""Point"",""coordinates"":[140.08753214364035,40.28296355052932]}",2
14,20210902T083446,-7.624662501,39.88493805,"{""type"":""Point"",""coordinates"":[140.06851282024797,40.28405095150104]}",2
15,20210902T083446,-9.806523635,33.80543286,"{""type"":""Point"",""coordinates"":[140.06826150234377,40.28770185211876]}",0
16,20210902T083446,-8.799044405,36.6126579,"{""type"":""Point"",""coordinates"":[140.06597806779078,40.28880440464347]}",2
17,20210902T083446,-8.565906225,37.26227063,"{""type"":""Point"",""coordinates"":[140.0661571635691,40.28897100815324]}",2
18,20210902T083446,-7.194786236,41.08273884,"{""type"":""Point"",""coordinates"":[140.06856079850246,40.28963517251312]}",1
19,20210902T083446,-8.170473014,38.36409981,"{""type"":""Point"",""coordinates"":[140.07048297095852,40.29054647249877]}",2
20,20210902T083446,-7.067759466,41.43668433,"{""type"":""Point"",""coordinates"":[140.0706487484661,40.29086051423267]}",1
21,20210902T083446,-5.822431088,44.90664867,"{""type"":""Point"",""coordinates"":[140.05766306284605,40.29098877584343]}",1
22,20210902T083446,-13.23619559,24.24904629,"{""type"":""Point"",""coordinates"":[140.07176110824426,40.29110478861378]}",4
23,20210902T083446,-9.409496224,34.91170409,"{""type"":""Point"",""coordinates"":[140.07066209075543,40.291231670021546]}",2
24,20210902T083446,-12.01852915,27.64193381,"{""type"":""Point"",""coordinates"":[140.05823286803366,40.291193775875065]}",4
25,20210902T083446,-8.044310822,38.71563625,"{""type"":""Point"",""coordinates"":[140.05713433730804,40.29127582500727]}",2
26,20210902T083446,-7.531658534,40.14408291,"{""type"":""Point"",""coordinates"":[140.0698605978513,40.291378387486866]}",1
27,20210902T083446,-10.43306101,32.05965851,"{""type"":""Point"",""coordinates"":[140.07082359044563,40.291407091683205]}",0
28,20210902T083446,-6.539311881,42.90914277,"{""type"":""Point"",""coordinates"":[140.05792674731111,40.29141525935378]}",1
29,20210902T083446,-8.745569514,36.76165953,"{""type"":""Point"",""coordinates"":[140.07210047345586,40.29155856236646]}",2
30,20210902T083446,-7.296098618,40.80044353,"{""type"":""Point"",""coordinates"":[140.06998706866074,40.291553579148776]}",1
31,20210902T083446,-5.380478391,46.13809905,"{""type"":""Point"",""coordinates"":[140.05671662858833,40.29155467560079]}",3
32,20210902T083446,-8.158467212,38.3975526,"{""type"":""Point"",""coordinates"":[140.07044695228308,40.29167285058022]}",2
33,20210902T083446,-6.644146029,42.61703446,"{""type"":""Point"",""coordinates"":[140.07096551773668,40.29176568269996]}",1
34,20210902T083446,-8.565343892,37.26383751,"{""type"":""Point"",""coordinates"":[140.07008218812686,40.29192080378088]}",2
35,20210902T083446,-8.105185658,38.54601552,"{""type"":""Point"",""coordinates"":[140.07069345772715,40.29207683840058]}",2
36,20210902T083446,-7.648909957,39.8173753,"{""type"":""Point"",""coordinates"":[140.073505525127,40.29225628576114]}",2
37,20210902T083446,-8.874440255,36.40257603,"{""type"":""Point"",""coordinates"":[140.05673522488223,40.292480234015464]}",2
38,20210902T083446,-8.473013513,37.52110549,"{""type"":""Point"",""coordinates"":[140.07330901740846,40.29259923864767]}",2
39,20210902T083446,-7.918888481,39.06511118,"{""type"":""Point"",""coordinates"":[140.0587834158015,40.29257443671406]}",2
40,20210902T083446,-8.899704326,36.3321806,"{""type"":""Point"",""coordinates"":[140.05723416614833,40.29275629434005]}",2
41,20210902T083446,-7.933901528,39.02327905,"{""type"":""Point"",""coordinates"":[140.07331170014945,40.29288091011804]}",2
42,20210902T083446,-8.939838698,36.22035079,"{""type"":""Point"",""coordinates"":[140.0725753634958,40.29294313110148]}",2
43,20210902T083446,-10.85888667,30.87314425,"{""type"":""Point"",""coordinates"":[140.07220395960542,40.29326257840828]}",0
44,20210902T083446,-14.25206525,21.41844227,"{""type"":""Point"",""coordinates"":[140.07315505374254,40.29331353845914]}",4
45,20210902T083446,-10.21049471,32.6798139,"{""type"":""Point"",""coordinates"":[140.07212017087156,40.293445325661104]}",0
46,20210902T083446,-7.172128475,41.14587208,"{""type"":""Point"",""coordinates"":[140.07288354861447,40.29357552523658]}",1
47,20210902T083446,-7.734441333,39.57905196,"{""type"":""Point"",""coordinates"":[140.0719824345312,40.29375289730832]}",2
48,20210902T083446,-7.84067139,39.28305412,"{""type"":""Point"",""coordinates"":[140.05669242194,40.29366915099304]}",2
49,20210902T083446,-9.201099859,35.4923766,"{""type"":""Point"",""coordinates"":[140.07273438994216,40.29386066922719]}",2
50,20210902T083446,-8.66406492,36.98876271,"{""type"":""Point"",""coordinates"":[140.08728767044485,40.29404931436695]}",2
51,20210902T083446,-10.04590028,33.13843735,"{""type"":""Point"",""coordinates"":[140.07131901923725,40.294079361095314]}",0
52,20210902T083446,-9.952267709,33.39933375,"{""type"":""Point"",""coordinates"":[140.07185526908506,40.29415889363124]}",0
53,20210902T083446,-7.298214792,40.79454706,"{""type"":""Point"",""coordinates"":[140.07267773702935,40.29422689374722]}",1
54,20210902T083446,-13.01181999,24.8742431,"{""type"":""Point"",""coordinates"":[140.07062660813355,40.294387747116744]}",4
55,20210902T083446,-7.242388219,40.95010138,"{""type"":""Point"",""coordinates"":[140.07121006665855,40.29442288691052]}",1
56,20210902T083446,-11.57362721,28.88160191,"{""type"":""Point"",""coordinates"":[140.07182221453405,40.2945029195462]}",0
57,20210902T083446,-7.565622415,40.04944646,"{""type"":""Point"",""coordinates"":[140.07229394811654,40.29460884954935]}",1
58,20210902T083446,-5.332955262,46.27051679,"{""type"":""Point"",""coordinates"":[140.08697651509996,40.294735794845174]}",3
59,20210902T083446,-6.106820254,44.11423096,"{""type"":""Point"",""coordinates"":[140.07255037425452,40.29465077229029]}",1
60,20210902T083446,-9.108403163,35.75066529,"{""type"":""Point"",""coordinates"":[140.07282441534343,40.294683868866535]}",2
61,20210902T083446,-7.241376262,40.95292109,"{""type"":""Point"",""coordinates"":[140.07073356183636,40.29474163698921]}",1
62,20210902T083446,-9.036783074,35.95022643,"{""type"":""Point"",""coordinates"":[140.0736167487858,40.29483660742298]}",2
63,20210902T083446,-9.891590044,33.56840509,"{""type"":""Point"",""coordinates"":[140.07159670175594,40.29482779565925]}",0
64,20210902T083446,-8.637029489,37.06409383,"{""type"":""Point"",""coordinates"":[140.07329479944397,40.29491049466967]}",2
65,20210902T083446,-6.557834275,42.85753224,"{""type"":""Point"",""coordinates"":[140.07098767643214,40.29498919987725]}",1
66,20210902T083446,-4.330917996,49.06257842,"{""type"":""Point"",""coordinates"":[140.0584999959368,40.294897299130916]}",3
67,20210902T083446,-4.135439809,49.60725591,"{""type"":""Point"",""coordinates"":[140.07681390906612,40.29504979756489]}",3
68,20210902T083446,-12.4549987,26.42576159,"{""type"":""Point"",""coordinates"":[140.07634670618228,40.29506015368459]}",4
69,20210902T083446,-8.345285367,37.87700529,"{""type"":""Point"",""coordinates"":[140.07255728757607,40.29507553370336]}",2
70,20210902T083446,-5.030983677,47.11192589,"{""type"":""Point"",""coordinates"":[140.0721834947348,40.29508648721036]}",3
71,20210902T083446,-9.647232333,34.24927976,"{""type"":""Point"",""coordinates"":[140.071645028506,40.295203652128095]}",0
72,20210902T083446,-6.245097531,43.72893722,"{""type"":""Point"",""coordinates"":[140.0710654922425,40.29533842671732]}",1
73,20210902T083446,-7.328287907,40.71075178,"{""type"":""Point"",""coordinates"":[140.07133399844523,40.29534466619632]}",1
74,20210902T083446,-7.261466734,40.8969413,"{""type"":""Point"",""coordinates"":[140.0726528266772,40.2954069932594]}",1
75,20210902T083446,-11.37301518,29.44058428,"{""type"":""Point"",""coordinates"":[140.07672179910622,40.295456028438444]}",0
76,20210902T083446,-7.460717073,40.34175314,"{""type"":""Point"",""coordinates"":[140.07226675375955,40.2954715146136]}",1
77,20210902T083446,-8.648070914,37.03332817,"{""type"":""Point"",""coordinates"":[140.07185742769022,40.29552694024362]}",2
78,20210902T083446,-7.54863285,40.09678593,"{""type"":""Point"",""coordinates"":[140.07222886551517,40.295726094904225]}",1
79,20210902T083446,-6.871216863,41.98432769,"{""type"":""Point"",""coordinates"":[140.05860700678411,40.29575191783268]}",1
80,20210902T083446,-11.06840765,30.28933814,"{""type"":""Point"",""coordinates"":[140.0766520435834,40.29595181929945]}",0
81,20210902T083446,-11.60344187,28.79852679,"{""type"":""Point"",""coordinates"":[140.0722374822515,40.29599886388891]}",0
82,20210902T083446,-6.574942002,42.80986353,"{""type"":""Point"",""coordinates"":[140.05770613483665,40.29590235592939]}",1
83,20210902T083446,-6.320446248,43.51898669,"{""type"":""Point"",""coordinates"":[140.05744326186013,40.29591400535795]}",1
84,20210902T083446,-7.907168613,39.09776725,"{""type"":""Point"",""coordinates"":[140.0767653680373,40.2962610383172]}",2
85,20210902T083446,-4.354324315,48.9973594,"{""type"":""Point"",""coordinates"":[140.07115459489074,40.29624209379516]}",3
86,20210902T083446,-5.479254503,45.86287077,"{""type"":""Point"",""coordinates"":[140.07050654802356,40.2962378226947]}",3
87,20210902T083446,-8.236778391,38.1793475,"{""type"":""Point"",""coordinates"":[140.0715981521298,40.29625842714645]}",2
88,20210902T083446,-9.315162801,35.17455333,"{""type"":""Point"",""coordinates"":[140.07235547135556,40.29641094379945]}",2
89,20210902T083446,-12.57755485,26.08427296,"{""type"":""Point"",""coordinates"":[140.06006773583147,40.296682652557465]}",4
90,20210902T083446,-5.910830072,44.66033507,"{""type"":""Point"",""coordinates"":[140.0593585491108,40.29691932761806]}",1
91,20210902T083446,-9.671806296,34.18080723,"{""type"":""Point"",""coordinates"":[140.05900225956003,40.29693035559018]}",0
92,20210902T083446,-8.513319941,37.40879627,"{""type"":""Point"",""coordinates"":[140.071530983319,40.29704035610411]}",2
93,20210902T083446,-13.65833058,23.07281567,"{""type"":""Point"",""coordinates"":[140.07736069035693,40.29732895492475]}",4
94,20210902T083446,-5.291136841,46.38703901,"{""type"":""Point"",""coordinates"":[140.0764551955618,40.29737221221308]}",3
95,20210902T083446,-11.18076023,29.97628059,"{""type"":""Point"",""coordinates"":[140.07195266521634,40.29744549429446]}",0
96,20210902T083446,-8.36849808,37.81232573,"{""type"":""Point"",""coordinates"":[140.0585530847944,40.29740571222554]}",2
97,20210902T083446,-8.843855584,36.4877967,"{""type"":""Point"",""coordinates"":[140.07539550438275,40.29762904557412]}",2
98,20210902T083446,-9.995642601,33.2784746,"{""type"":""Point"",""coordinates"":[140.07211388179326,40.29764773630546]}",0
99,20210902T083446,-10.70208053,31.31006653,"{""type"":""Point"",""coordinates"":[140.05881981094794,40.297568442993025]}",0
100,20210902T083446,-8.607902077,37.14525402,"{""type"":""Point"",""coordinates"":[140.07909045917586,40.29772025378446]}",2
101,20210902T083446,-10.02376148,33.20012457,"{""type"":""Point"",""coordinates"":[140.07230404053757,40.297872521933506]}",0
102,20210902T083446,-7.412491396,40.47612844,"{""type"":""Point"",""coordinates"":[140.07009360387872,40.29817090884893]}",1
103,20210902T083446,-9.319347951,35.16289189,"{""type"":""Point"",""coordinates"":[140.07653818473023,40.298307129875084]}",2
104,20210902T083446,-10.00121707,33.26294199,"{""type"":""Point"",""coordinates"":[140.06913464162298,40.29829422847802]}",0
105,20210902T083446,-8.275192947,38.07230976,"{""type"":""Point"",""coordinates"":[140.0729469413292,40.29833723044028]}",2
106,20210902T083446,-6.592791831,42.76012703,"{""type"":""Point"",""coordinates"":[140.07011982813427,40.298434852632646]}",1
107,20210902T083446,-8.119714404,38.50553284,"{""type"":""Point"",""coordinates"":[140.07325427479162,40.29852701903338]}",2
108,20210902T083446,-6.940943752,41.79004173,"{""type"":""Point"",""coordinates"":[140.06868829996145,40.298523755248056]}",1
109,20210902T083446,-7.761035353,39.50495078,"{""type"":""Point"",""coordinates"":[140.07613503190564,40.29885438708123]}",2
110,20210902T083446,-7.755746736,39.5196869,"{""type"":""Point"",""coordinates"":[140.07001599628416,40.298841000486505]}",2
111,20210902T083446,-6.954697329,41.75171897,"{""type"":""Point"",""coordinates"":[140.0692717896175,40.29907750520639]}",1
112,20210902T083446,-4.603145674,48.30404729,"{""type"":""Point"",""coordinates"":[140.07045529619165,40.299237318875846]}",3
113,20210902T083446,-6.317615568,43.52687405,"{""type"":""Point"",""coordinates"":[140.06945081959677,40.299253044363816]}",1
114,20210902T083446,-7.780507597,39.45069361,"{""type"":""Point"",""coordinates"":[140.0798526918042,40.29953585106596]}",2
115,20210902T083446,-1.004837644,58.33031891,"{""type"":""Point"",""coordinates"":[140.0771085717398,40.29951794645683]}",3
116,20210902T083446,-7.189213016,41.09826797,"{""type"":""Point"",""coordinates"":[140.07004952056164,40.29949394248769]}",1
117,20210902T083446,-6.630511087,42.65502666,"{""type"":""Point"",""coordinates"":[140.06980802678703,40.299680117943105]}",1
118,20210902T083446,-6.161292044,43.96245158,"{""type"":""Point"",""coordinates"":[140.0759572271133,40.300136311618665]}",1
119,20210902T083446,-8.795785702,36.6217379,"{""type"":""Point"",""coordinates"":[140.07044016063608,40.300582896769185]}",2
120,20210902T083446,-2.594554785,53.90075487,"{""type"":""Point"",""coordinates"":[140.07599225675236,40.30065961173831]}",3
121,20210902T083446,-6.485058576,43.06031336,"{""type"":""Point"",""coordinates"":[140.07082943920216,40.300755349321925]}",1
122,20210902T083446,-9.019367981,35.99875158,"{""type"":""Point"",""coordinates"":[140.07049573115586,40.300833621810824]}",2
123,20210902T083446,-7.835096658,39.29858746,"{""type"":""Point"",""coordinates"":[140.07069218436843,40.30101821527732]}",2
124,20210902T083446,-7.156339967,41.18986495,"{""type"":""Point"",""coordinates"":[140.0708115796736,40.301305126386865]}",1
125,20210902T083446,-11.45693259,29.20675806,"{""type"":""Point"",""coordinates"":[140.0754508487121,40.30155914564314]}",0
126,20210902T083446,-6.5132003,42.98189968,"{""type"":""Point"",""coordinates"":[140.07577661882064,40.301668575851004]}",1
127,20210902T083446,-10.46869295,31.96037418,"{""type"":""Point"",""coordinates"":[140.0709120023653,40.301721562304266]}",0
128,20210902T083446,-7.670772675,39.75645735,"{""type"":""Point"",""coordinates"":[140.03564525702024,40.31943800491984]}",2
129,20210902T083446,-4.725235826,47.96385712,"{""type"":""Point"",""coordinates"":[140.0351036931882,40.319796393313474]}",3
130,20210902T083446,-9.378843138,34.99711539,"{""type"":""Point"",""coordinates"":[140.0884948504625,40.33191483720449]}",2
131,20210902T083446,-9.534086788,34.56454681,"{""type"":""Point"",""coordinates"":[140.0882951135714,40.33201637623988]}",0
132,20210902T083446,-6.860559762,42.01402248,"{""type"":""Point"",""coordinates"":[140.08807765525,40.3321356834242]}",1
133,20210902T083446,-8.556501271,37.28847645,"{""type"":""Point"",""coordinates"":[140.08786024535848,40.33225051983905]}",2
134,20210902T083446,-11.39208257,29.38745519,"{""type"":""Point"",""coordinates"":[140.09098678345902,40.33320946795188]}",0
135,20210902T083446,-11.42192756,29.30429554,"{""type"":""Point"",""coordinates"":[140.0911195699741,40.33335338145562]}",0
136,20210902T083446,-8.234596618,38.18542676,"{""type"":""Point"",""coordinates"":[140.09126988154227,40.33349740723614]}",2
137,20210902T083446,-11.5407555,28.97319517,"{""type"":""Point"",""coordinates"":[140.09133203247654,40.33369004466143]}",0
138,20210902T083446,-9.573005436,34.45610447,"{""type"":""Point"",""coordinates"":[140.08667050783183,40.292301760828146]}",0
139,20210902T083446,-7.305670419,40.77377281,"{""type"":""Point"",""coordinates"":[140.08668383956646,40.292681856233884]}",1
140,20210902T083446,-9.53165001,34.57133661,"{""type"":""Point"",""coordinates"":[140.08189112855115,40.28524734718261]}",0
141,20210902T083446,-14.1273952,21.76582103,"{""type"":""Point"",""coordinates"":[140.0776420388368,40.29094216890213]}",4
142,20210902T083446,-16.66906029,14.68376348,"{""type"":""Point"",""coordinates"":[140.07775883207933,40.290415389294466]}",4
143,20210902T083446,-7.613751205,39.91534112,"{""type"":""Point"",""coordinates"":[140.07139063688928,40.29030209459592]}",2
144,20210902T083446,-9.863343662,33.64711038,"{""type"":""Point"",""coordinates"":[140.0672519499653,40.283528479189094]}",0
145,20210902T083446,-9.261727065,35.32344586,"{""type"":""Point"",""coordinates"":[140.06722180527186,40.28361322292797]}",2
146,20210902T083446,-9.911074487,33.51411393,"{""type"":""Point"",""coordinates"":[140.06440807654496,40.283098309871534]}",0
147,20210902T083446,-9.468871176,34.74626261,"{""type"":""Point"",""coordinates"":[140.08608254361985,40.283665039671945]}",0
148,20210902T083446,-10.43182422,32.06310467,"{""type"":""Point"",""coordinates"":[140.07684997546417,40.29914518843256]}",0
149,20210902T083446,-6.630158102,42.65601022,"{""type"":""Point"",""coordinates"":[140.07562234793528,40.298229604261145]}",1
150,20210902T083446,0.915608486,63.68142125,"{""type"":""Point"",""coordinates"":[140.0753749047258,40.2968599514373]}",3
151,20210902T083446,-7.559753825,40.06579861,"{""type"":""Point"",""coordinates"":[140.0756143666621,40.2978987207565]}",1
152,20210902T083446,-9.069171375,35.85998015,"{""type"":""Point"",""coordinates"":[140.0783738123104,40.30020575497822]}",2
153,20210902T083446,-9.216789753,35.44865852,"{""type"":""Point"",""coordinates"":[140.07825378951625,40.299972495743184]}",2
154,20210902T083446,-5.809724434,44.9420543,"{""type"":""Point"",""coordinates"":[140.07758205269633,40.29999493371851]}",1
155,20210902T083446,-11.09278601,30.22141064,"{""type"":""Point"",""coordinates"":[140.07804965187285,40.300476351312554]}",0
156,20210902T083446,-10.93449143,30.66248028,"{""type"":""Point"",""coordinates"":[140.0778940629888,40.300815107945986]}",0
157,20210902T083446,-6.667277821,42.55258039,"{""type"":""Point"",""coordinates"":[140.07713075011992,40.3011946004893]}",1
158,20210902T083446,-8.618903505,37.1145998,"{""type"":""Point"",""coordinates"":[140.07644912497355,40.303148305004086]}",2
159,20210902T083446,-15.16338597,18.87915185,"{""type"":""Point"",""coordinates"":[140.05076091417124,40.27035024548832]}",4
160,20210902T083446,-7.253828638,40.91822397,"{""type"":""Point"",""coordinates"":[140.04964386362727,40.27054833783531]}",1
161,20210902T083446,-6.484236479,43.06260404,"{""type"":""Point"",""coordinates"":[140.04844227518348,40.26897097446548]}",1
162,20210902T083446,-7.996923217,38.84767636,"{""type"":""Point"",""coordinates"":[140.08405850608432,40.28510492874182]}",2
163,20210902T083446,-7.900104278,39.11745121,"{""type"":""Point"",""coordinates"":[140.08173743760395,40.28436562031958]}",2
164,20210902T083446,-7.323276262,40.72471615,"{""type"":""Point"",""coordinates"":[140.08269325935467,40.28345086030596]}",1
